State,District,Year,Season,Crop,Area,Production
Maharashtra,Amravati,2013,Rabi,Wheat,42000.0,65000.0
Maharashtra,Amravati,2013,Kharif,Maize,300.0,400.0
Maharashtra,Amravati,2013,Whole year,Sugarcane,300.0,21700.0
Maharashtra,Amravati,2014,Kharif,Maize,800.0,1500.0
Maharashtra,Amravati,2014,Kharif,Rice,5300.0,1600.0
Maharashtra,Amravati,2014,Rabi,Maize,1800.0,300.0
Maharashtra,Amravati,2014,Rabi,Wheat,66400.0,87200.0
Maharashtra,Amravati,2014,Whole year,Sugarcane,400.0,16100.0
Maharashtra,Aurangabad,2012,Kharif,Maize,144200.0,291100.0
Maharashtra,Aurangabad,2012,Kharif,Urad,1400.0,500.0
Maharashtra,Aurangabad,2012,Rabi,Maize,5300.0,3500.0
Maharashtra,Aurangabad,2012,Rabi,Wheat,24300.0,21500.0
Maharashtra,Aurangabad,2012,Kharif,Maize,500.0,700.0
Maharashtra,Aurangabad,2012,Whole year,Sugarcane,14800.0,630900.0
Maharashtra,Aurangabad,2013,Kharif,Maize,167900.0,759800.0
Maharashtra,Aurangabad,2013,Kharif,Urad,1900.0,2200.0
Maharashtra,Aurangabad,2013,Rabi,Maize,6400.0,22100.0
Maharashtra,Aurangabad,2013,Rabi,Wheat,35400.0,54200.0
Maharashtra,Aurangabad,2013,Kharif,Maize,1100.0,1400.0
Maharashtra,Aurangabad,2013,Whole year,Sugarcane,14600.0,1170600.0
Maharashtra,Aurangabad,2014,Kharif,Maize,191700.0,175800.0
Maharashtra,Aurangabad,2014,Rabi,Maize,9000.0,11400.0
Maharashtra,Aurangabad,2014,Rabi,Wheat,35400.0,33900.0
Maharashtra,Aurangabad,2014,Kharif,Maize,3400.0,1500.0
Maharashtra,Aurangabad,2014,Whole year,Sugarcane,13900.0,932200.0
Maharashtra,Beed,2012,Kharif,Maize,4600.0,3600.0
Maharashtra,Beed,2012,Kharif,Rice,600.0,300.0
Maharashtra,Beed,2012,Kharif,Urad,10300.0,2100.0
Maharashtra,Beed,2012,Rabi,Maize,5800.0,3800.0
Maharashtra,Beed,2012,Rabi,Wheat,27700.0,27000.0
Maharashtra,Beed,2012,Kharif,Maize,200.0,200.0
Maharashtra,Beed,2012,Whole year,Sugarcane,51400.0,2817000.0
Maharashtra,Beed,2013,Kharif,Maize,5200.0,6900.0
Maharashtra,Beed,2013,Kharif,Rice,500.0,300.0
Maharashtra,Beed,2013,Kharif,Urad,13700.0,8400.0
Maharashtra,Beed,2013,Rabi,Maize,9200.0,11500.0
Maharashtra,Beed,2013,Rabi,Wheat,57800.0,57100.0
Maharashtra,Beed,2013,Kharif,Maize,800.0,800.0
Maharashtra,Beed,2013,Whole year,Sugarcane,46000.0,2567300.0
Maharashtra,Beed,2014,Kharif,Maize,6200.0,4700.0
Maharashtra,Beed,2014,Kharif,Rice,400.0,100.0
Maharashtra,Beed,2014,Rabi,Maize,8500.0,5900.0
Maharashtra,Beed,2014,Rabi,Wheat,59100.0,40000.0
Maharashtra,Beed,2014,Kharif,Maize,1300.0,600.0
Maharashtra,Beed,2014,Whole year,Sugarcane,37600.0,1723500.0
Maharashtra,Bhandara,2012,Kharif,Rice,177200.0,360500.0
Maharashtra,Bhandara,2012,Kharif,Urad,100.0,100.0
Maharashtra,Bhandara,2012,Rabi,Wheat,11800.0,14700.0
Maharashtra,Bhandara,2012,Kharif,Rice,7100.0,18700.0
Maharashtra,Bhandara,2012,Whole year,Sugarcane,2900.0,191300.0
Maharashtra,Bhandara,2013,Kharif,Rice,186200.0,303500.0
Maharashtra,Bhandara,2013,Kharif,Urad,100.0,40.0
Maharashtra,Bhandara,2013,Rabi,Wheat,11900.0,13600.0
Maharashtra,Bhandara,2013,Kharif,Rice,8400.0,20770.0
Maharashtra,Bhandara,2013,Whole year,Sugarcane,600.0,36100.0
Maharashtra,Bhandara,2014,Kharif,Rice,188600.0,305400.0
Maharashtra,Bhandara,2014,Rabi,Wheat,11400.0,13900.0
Maharashtra,Bhandara,2014,Kharif,Rice,7600.0,17400.0
Maharashtra,Bhandara,2014,Whole year,Sugarcane,6700.0,490800.0
Maharashtra,Buldhana,2012,Kharif,Maize,15600.0,35000.0
Maharashtra,Buldhana,2012,Kharif,Urad,43000.0,27600.0
Maharashtra,Buldhana,2012,Rabi,Maize,6900.0,5100.0
Maharashtra,Buldhana,2012,Rabi,Wheat,36100.0,53600.0
Maharashtra,Buldhana,2012,Whole year,Sugarcane,100.0,4400.0
Maharashtra,Buldhana,2013,Kharif,Maize,15000.0,42900.0
Maharashtra,Buldhana,2013,Kharif,Urad,40600.0,21800.0
Maharashtra,Buldhana,2013,Rabi,Maize,16600.0,41900.0
Maharashtra,Buldhana,2013,Rabi,Wheat,59000.0,73900.0
Maharashtra,Buldhana,2013,Kharif,Maize,1800.0,2600.0
Maharashtra,Buldhana,2013,Whole year,Sugarcane,100.0,8100.0
Maharashtra,Buldhana,2014,Kharif,Maize,30000.0,54400.0
Maharashtra,Buldhana,2014,Rabi,Maize,17200.0,2700.0
Maharashtra,Buldhana,2014,Rabi,Wheat,73500.0,95500.0
Maharashtra,Buldhana,2014,Kharif,Maize,1700.0,3000.0
Maharashtra,Buldhana,2014,Whole year,Sugarcane,300.0,18700.0
Maharashtra,Chandrapur,2012,Kharif,Rice,158200.0,250500.0
Maharashtra,Chandrapur,2012,Kharif,Urad,200.0,100.0
Maharashtra,Chandrapur,2012,Rabi,Wheat,22400.0,26700.0
Maharashtra,Chandrapur,2012,Kharif,Maize,100.0,100.0
Maharashtra,Chandrapur,2012,Kharif,Rice,2600.0,5400.0
Maharashtra,Chandrapur,2013,Kharif,Rice,160200.0,211300.0
Maharashtra,Chandrapur,2013,Kharif,Urad,200.0,100.0
Maharashtra,Chandrapur,2013,Rabi,Wheat,25600.0,28600.0
Maharashtra,Chandrapur,2013,Kharif,Rice,3200.0,6900.0
Maharashtra,Chandrapur,2014,Kharif,Rice,141800.0,106700.0
Maharashtra,Chandrapur,2014,Rabi,Wheat,24200.0,17800.0
Maharashtra,Chandrapur,2014,Kharif,Maize,100.0,100.0
Maharashtra,Chandrapur,2014,Kharif,Rice,4000.0,6800.0
Maharashtra,Chandrapur,2014,Whole year,Sugarcane,100.0,9000.0
Maharashtra,Dhule,2012,Kharif,Maize,61800.0,159700.0
Maharashtra,Dhule,2012,Kharif,Rice,7700.0,7400.0
Maharashtra,Dhule,2012,Kharif,Urad,5300.0,2600.0
Maharashtra,Dhule,2012,Rabi,Maize,2500.0,7700.0
Maharashtra,Dhule,2012,Rabi,Wheat,37500.0,82400.0
Maharashtra,Dhule,2012,Kharif,Maize,800.0,900.0
Maharashtra,Dhule,2012,Whole year,Sugarcane,5300.0,434100.0
Maharashtra,Dhule,2013,Kharif,Maize,82100.0,265100.0
Maharashtra,Dhule,2013,Kharif,Rice,7700.0,9700.0
Maharashtra,Dhule,2013,Kharif,Urad,6000.0,3400.0
Maharashtra,Dhule,2013,Rabi,Maize,2900.0,5900.0
Maharashtra,Dhule,2013,Rabi,Wheat,47200.0,77500.0
Maharashtra,Dhule,2013,Kharif,Maize,900.0,1000.0
Maharashtra,Dhule,2013,Whole year,Sugarcane,6500.0,536900.0
Maharashtra,Dhule,2014,Kharif,Maize,89600.0,178200.0
Maharashtra,Dhule,2014,Kharif,Rice,100.0,0.0
Maharashtra,Dhule,2014,Rabi,Maize,10400.0,37400.0
Maharashtra,Dhule,2014,Rabi,Wheat,36000.0,65700.0
Maharashtra,Dhule,2014,Kharif,Maize,600.0,600.0
Maharashtra,Dhule,2014,Whole year,Sugarcane,7000.0,438400.0
Maharashtra,Gadchiroli,2012,Kharif,Maize,1900.0,4300.0
Maharashtra,Gadchiroli,2012,Kharif,Rice,151400.0,228800.0
Maharashtra,Gadchiroli,2012,Rabi,Maize,900.0,700.0
Maharashtra,Gadchiroli,2012,Rabi,Wheat,500.0,600.0
Maharashtra,Gadchiroli,2012,Kharif,Maize,500.0,500.0
Maharashtra,Gadchiroli,2012,Kharif,Rice,2900.0,6200.0
Maharashtra,Gadchiroli,2013,Kharif,Maize,1700.0,4900.0
Maharashtra,Gadchiroli,2013,Kharif,Rice,153000.0,225600.0
Maharashtra,Gadchiroli,2013,Rabi,Maize,1000.0,2500.0
Maharashtra,Gadchiroli,2013,Rabi,Wheat,500.0,700.0
Maharashtra,Gadchiroli,2013,Kharif,Rice,3000.0,6400.0
Maharashtra,Gadchiroli,2014,Kharif,Maize,1500.0,2700.0
Maharashtra,Gadchiroli,2014,Kharif,Rice,152800.0,201600.0
Maharashtra,Gadchiroli,2014,Rabi,Maize,300.0,
Maharashtra,Gadchiroli,2014,Rabi,Wheat,1200.0,1200.0
Maharashtra,Gadchiroli,2014,Kharif,Rice,2900.0,4500.0
Maharashtra,Gadchiroli,2014,Whole year,Sugarcane,100.0,9900.0
Maharashtra,Gondia,2012,Kharif,Maize,100.0,100.0
Maharashtra,Gondia,2012,Kharif,Rice,177500.0,334600.0
Maharashtra,Gondia,2012,Kharif,Urad,100.0,100.0
Maharashtra,Gondia,2012,Rabi,Wheat,1900.0,1800.0
Maharashtra,Gondia,2012,Kharif,Maize,100.0,100.0
Maharashtra,Gondia,2012,Kharif,Rice,8900.0,21300.0
Maharashtra,Gondia,2012,Whole year,Sugarcane,200.0,16600.0
Maharashtra,Gondia,2013,Kharif,Maize,100.0,300.0
Maharashtra,Gondia,2013,Kharif,Rice,188100.0,292500.0
Maharashtra,Gondia,2013,Kharif,Urad,100.0,
Maharashtra,Gondia,2013,Rabi,Wheat,1700.0,1100.0
Maharashtra,Gondia,2013,Kharif,Rice,13400.0,32820.0
Maharashtra,Gondia,2013,Whole year,Sugarcane,300.0,21500.0
Maharashtra,Gondia,2014,Kharif,Rice,174700.0,340600.0
Maharashtra,Gondia,2014,Rabi,Maize,400.0,100.0
Maharashtra,Gondia,2014,Rabi,Wheat,2400.0,1500.0
Maharashtra,Gondia,2014,Kharif,Maize,200.0,200.0
Maharashtra,Gondia,2014,Kharif,Rice,12900.0,36100.0
Maharashtra,Gondia,2014,Whole year,Sugarcane,1500.0,97000.0
Maharashtra,Hingoli,2012,Kharif,Maize,600.0,600.0
Maharashtra,Hingoli,2012,Kharif,Rice,600.0,200.0
Maharashtra,Hingoli,2012,Kharif,Urad,8600.0,6000.0
Maharashtra,Hingoli,2012,Rabi,Maize,200.0,100.0
Maharashtra,Hingoli,2012,Rabi,Wheat,37600.0,52300.0
Maharashtra,Hingoli,2012,Kharif,Maize,200.0,300.0
Maharashtra,Hingoli,2012,Whole year,Sugarcane,9000.0,678500.0
Maharashtra,Hingoli,2013,Kharif,Maize,400.0,500.0
Maharashtra,Hingoli,2013,Kharif,Urad,8800.0,4900.0
Maharashtra,Hingoli,2013,Rabi,Maize,400.0,1000.0
Maharashtra,Hingoli,2013,Rabi,Wheat,77200.0,74200.0
Maharashtra,Hingoli,2013,Kharif,Maize,1200.0,1600.0
Maharashtra,Hingoli,2013,Whole year,Sugarcane,7200.0,516500.0
Maharashtra,Hingoli,2014,Kharif,Maize,1300.0,500.0
Maharashtra,Hingoli,2014,Rabi,Maize,500.0,100.0
Maharashtra,Hingoli,2014,Rabi,Wheat,49500.0,33000.0
Maharashtra,Hingoli,2014,Kharif,Maize,1600.0,1000.0
Maharashtra,Hingoli,2014,Whole year,Sugarcane,15200.0,855700.0
Maharashtra,Jalgaon,2012,Kharif,Maize,70600.0,188600.0
Maharashtra,Jalgaon,2012,Kharif,Urad,45000.0,22900.0
Maharashtra,Jalgaon,2012,Rabi,Maize,11600.0,31600.0
Maharashtra,Jalgaon,2012,Rabi,Wheat,25300.0,53000.0
Maharashtra,Jalgaon,2012,Whole year,Sugarcane,11000.0,759100.0
Maharashtra,Jalgaon,2013,Kharif,Maize,70700.0,270500.0
Maharashtra,Jalgaon,2013,Kharif,Urad,45100.0,34400.0
Maharashtra,Jalgaon,2013,Rabi,Maize,11600.0,26100.0
Maharashtra,Jalgaon,2013,Rabi,Wheat,25300.0,64800.0
Maharashtra,Jalgaon,2013,Kharif,Maize,5200.0,8000.0
Maharashtra,Jalgaon,2013,Whole year,Sugarcane,11700.0,883200.0
Maharashtra,Jalgaon,2014,Kharif,Maize,94600.0,235100.0
Maharashtra,Jalgaon,2014,Rabi,Maize,50100.0,188200.0
Maharashtra,Jalgaon,2014,Rabi,Wheat,49600.0,81100.0
Maharashtra,Jalgaon,2014,Kharif,Maize,9400.0,23500.0
Maharashtra,Jalgaon,2014,Whole year,Sugarcane,7900.0,553600.0
Maharashtra,Jalna,2012,Kharif,Maize,62900.0,111000.0
Maharashtra,Jalna,2012,Kharif,Urad,10400.0,1500.0
Maharashtra,Jalna,2012,Rabi,Maize,2300.0,3600.0
Maharashtra,Jalna,2012,Rabi,Wheat,6500.0,2900.0
Maharashtra,Jalna,2012,Whole year,Sugarcane,12800.0,802600.0
Maharashtra,Jalna,2013,Kharif,Maize,73500.0,196400.0
Maharashtra,Jalna,2013,Kharif,Urad,9500.0,5800.0
Maharashtra,Jalna,2013,Rabi,Maize,7500.0,16400.0
Maharashtra,Jalna,2013,Rabi,Wheat,9800.0,13700.0
Maharashtra,Jalna,2013,Kharif,Maize,2300.0,1200.0
Maharashtra,Jalna,2013,Whole year,Sugarcane,13500.0,972300.0
Maharashtra,Jalna,2014,Kharif,Maize,57600.0,32200.0
Maharashtra,Jalna,2014,Rabi,Wheat,1900.0,1500.0
Maharashtra,Jalna,2014,Kharif,Maize,200.0,100.0
Maharashtra,Jalna,2014,Whole year,Sugarcane,21100.0,1007500.0
Maharashtra,Kolhapur,2012,Kharif,Maize,1700.0,2700.0
Maharashtra,Kolhapur,2012,Kharif,Rice,107800.0,282200.0
Maharashtra,Kolhapur,2012,Kharif,Urad,1400.0,300.0
Maharashtra,Kolhapur,2012,Rabi,Maize,3800.0,7700.0
Maharashtra,Kolhapur,2012,Rabi,Wheat,9100.0,20000.0
Maharashtra,Kolhapur,2012,Kharif,Rice,700.0,1800.0
Maharashtra,Kolhapur,2012,Whole year,Sugarcane,142000.0,13739100.0
Maharashtra,Kolhapur,2013,Kharif,Maize,2200.0,5000.0
Maharashtra,Kolhapur,2013,Kharif,Rice,108800.0,339600.0
Maharashtra,Kolhapur,2013,Kharif,Urad,600.0,300.0
Maharashtra,Kolhapur,2013,Rabi,Maize,4300.0,11600.0
Maharashtra,Kolhapur,2013,Rabi,Wheat,16600.0,41700.0
Maharashtra,Kolhapur,2013,Kharif,Maize,100.0,200.0
Maharashtra,Kolhapur,2013,Kharif,Rice,800.0,2200.0
Maharashtra,Kolhapur,2013,Whole year,Sugarcane,135200.0,13580200.0
Maharashtra,Kolhapur,2014,Kharif,Maize,2900.0,9800.0
Maharashtra,Kolhapur,2014,Kharif,Rice,110900.0,335200.0
Maharashtra,Kolhapur,2014,Rabi,Maize,6500.0,19400.0
Maharashtra,Kolhapur,2014,Rabi,Wheat,6800.0,15100.0
Maharashtra,Kolhapur,2014,Kharif,Maize,100.0,300.0
Maharashtra,Kolhapur,2014,Kharif,Rice,900.0,3400.0
Maharashtra,Kolhapur,2014,Whole year,Sugarcane,146300.0,15031600.0
Maharashtra,Latur,2012,Kharif,Maize,6800.0,14300.0
Maharashtra,Latur,2012,Kharif,Rice,8300.0,5000.0
Maharashtra,Latur,2012,Kharif,Urad,14700.0,11400.0
Maharashtra,Latur,2012,Rabi,Maize,2200.0,3800.0
Maharashtra,Latur,2012,Rabi,Wheat,31000.0,47300.0
Maharashtra,Latur,2012,Whole year,Sugarcane,46400.0,3051100.0
Maharashtra,Latur,2013,Kharif,Maize,7100.0,18500.0
Maharashtra,Latur,2013,Kharif,Rice,7600.0,5100.0
Maharashtra,Latur,2013,Kharif,Urad,13000.0,12100.0
Maharashtra,Latur,2013,Rabi,Maize,3200.0,7500.0
Maharashtra,Latur,2013,Rabi,Wheat,35200.0,44900.0
Maharashtra,Latur,2013,Kharif,Maize,500.0,600.0
Maharashtra,Latur,2013,Whole year,Sugarcane,41500.0,2902800.0
Maharashtra,Latur,2014,Kharif,Maize,6700.0,4100.0
Maharashtra,Latur,2014,Kharif,Rice,5800.0,1100.0
Maharashtra,Latur,2014,Rabi,Maize,2000.0,1100.0
Maharashtra,Latur,2014,Rabi,Wheat,47200.0,10800.0
Maharashtra,Latur,2014,Whole year,Sugarcane,46400.0,2354600.0
Maharashtra,Nagpur,2012,Kharif,Maize,400.0,900.0
Maharashtra,Nagpur,2012,Kharif,Rice,67000.0,100200.0
Maharashtra,Nagpur,2012,Kharif,Urad,1800.0,800.0
Maharashtra,Nagpur,2012,Rabi,Wheat,80200.0,124800.0
Maharashtra,Nagpur,2012,Kharif,Maize,100.0,100.0
Maharashtra,Nagpur,2012,Kharif,Rice,100.0,200.0
Maharashtra,Nagpur,2012,Whole year,Sugarcane,300.0,22100.0
Maharashtra,Nagpur,2013,Kharif,Maize,200.0,600.0
Maharashtra,Nagpur,2013,Kharif,Rice,77700.0,105000.0
Maharashtra,Nagpur,2013,Kharif,Urad,1800.0,700.0
Maharashtra,Nagpur,2013,Rabi,Wheat,86200.0,83100.0
Maharashtra,Nagpur,2013,Kharif,Maize,300.0,300.0
Maharashtra,Nagpur,2013,Kharif,Rice,100.0,200.0
Maharashtra,Nagpur,2013,Whole year,Sugarcane,300.0,20000.0
Maharashtra,Nagpur,2014,Kharif,Maize,200.0,400.0
Maharashtra,Nagpur,2014,Kharif,Rice,78800.0,95500.0
Maharashtra,Nagpur,2014,Rabi,Wheat,88500.0,110600.0
Maharashtra,Nagpur,2014,Kharif,Maize,400.0,400.0
Maharashtra,Nagpur,2014,Whole year,Sugarcane,3800.0,258500.0
Maharashtra,Nanded,2012,Kharif,Maize,500.0,500.0
Maharashtra,Nanded,2012,Kharif,Rice,4000.0,2100.0
Maharashtra,Nanded,2012,Kharif,Urad,48900.0,39400.0
Maharashtra,Nanded,2012,Rabi,Maize,300.0,700.0
Maharashtra,Nanded,2012,Rabi,Wheat,30400.0,43500.0
Maharashtra,Nanded,2012,Whole year,Sugarcane,12800.0,1047900.0
Maharashtra,Nanded,2013,Kharif,Maize,400.0,500.0
Maharashtra,Nanded,2013,Kharif,Rice,800.0,400.0
Maharashtra,Nanded,2013,Kharif,Urad,49600.0,32700.0
Maharashtra,Nanded,2013,Rabi,Maize,100.0,100.0
Maharashtra,Nanded,2013,Rabi,Wheat,38900.0,43800.0
Maharashtra,Nanded,2013,Kharif,Maize,2200.0,2100.0
Maharashtra,Nanded,2013,Whole year,Sugarcane,12200.0,1020700.0
Maharashtra,Nanded,2014,Kharif,Maize,700.0,300.0
Maharashtra,Nanded,2014,Kharif,Rice,800.0,100.0
Maharashtra,Nanded,2014,Rabi,Maize,200.0,100.0
Maharashtra,Nanded,2014,Rabi,Wheat,39500.0,29200.0
Maharashtra,Nanded,2014,Kharif,Maize,3000.0,3500.0
Maharashtra,Nanded,2014,Whole year,Sugarcane,18800.0,1113200.0
Maharashtra,Nandurbar,2012,Kharif,Maize,32000.0,84700.0
Maharashtra,Nandurbar,2012,Kharif,Rice,19500.0,28400.0
Maharashtra,Nandurbar,2012,Kharif,Urad,15000.0,14500.0
Maharashtra,Nandurbar,2012,Rabi,Maize,1600.0,4400.0
Maharashtra,Nandurbar,2012,Rabi,Wheat,24000.0,50900.0
Maharashtra,Nandurbar,2012,Whole year,Sugarcane,10800.0,794000.0
Maharashtra,Nandurbar,2013,Kharif,Maize,27800.0,46400.0
Maharashtra,Nandurbar,2013,Kharif,Rice,22500.0,20300.0
Maharashtra,Nandurbar,2013,Kharif,Urad,13400.0,5000.0
Maharashtra,Nandurbar,2013,Rabi,Maize,2700.0,6100.0
Maharashtra,Nandurbar,2013,Rabi,Wheat,21500.0,45800.0
Maharashtra,Nandurbar,2013,Kharif,Maize,700.0,900.0
Maharashtra,Nandurbar,2013,Whole year,Sugarcane,10800.0,832600.0
Maharashtra,Nandurbar,2014,Kharif,Maize,28900.0,45300.0
Maharashtra,Nandurbar,2014,Kharif,Rice,18200.0,9000.0
Maharashtra,Nandurbar,2014,Rabi,Maize,2500.0,9400.0
Maharashtra,Nandurbar,2014,Rabi,Wheat,21900.0,39100.0
Maharashtra,Nandurbar,2014,Kharif,Maize,2400.0,3200.0
Maharashtra,Nandurbar,2014,Whole year,Sugarcane,8000.0,633800.0
Maharashtra,Nashik,2012,Kharif,Maize,168100.0,496100.0
Maharashtra,Nashik,2012,Kharif,Rice,67900.0,80800.0
Maharashtra,Nashik,2012,Kharif,Urad,16000.0,15700.0
Maharashtra,Nashik,2012,Rabi,Maize,900.0,1700.0
Maharashtra,Nashik,2012,Rabi,Wheat,32400.0,53200.0
Maharashtra,Nashik,2012,Kharif,Maize,100.0,100.0
Maharashtra,Nashik,2012,Whole year,Sugarcane,24600.0,1863900.0
Maharashtra,Nashik,2013,Kharif,Maize,144200.0,556700.0
Maharashtra,Nashik,2013,Kharif,Rice,72600.0,93300.0
Maharashtra,Nashik,2013,Kharif,Urad,16800.0,17500.0
Maharashtra,Nashik,2013,Rabi,Maize,1700.0,5800.0
Maharashtra,Nashik,2013,Rabi,Wheat,65900.0,111900.0
Maharashtra,Nashik,2013,Kharif,Maize,300.0,400.0
Maharashtra,Nashik,2013,Whole year,Sugarcane,21000.0,1786500.0
Maharashtra,Nashik,2014,Kharif,Maize,116900.0,309000.0
Maharashtra,Nashik,2014,Kharif,Rice,71200.0,86700.0
Maharashtra,Nashik,2014,Rabi,Maize,2900.0,13700.0
Maharashtra,Nashik,2014,Rabi,Wheat,72400.0,111200.0
Maharashtra,Nashik,2014,Kharif,Maize,200.0,200.0
Maharashtra,Nashik,2014,Whole year,Sugarcane,16800.0,1384200.0
Maharashtra,Osmanabad,2012,Kharif,Maize,18400.0,10800.0
Maharashtra,Osmanabad,2012,Kharif,Rice,11500.0,2800.0
Maharashtra,Osmanabad,2012,Kharif,Urad,38200.0,11000.0
Maharashtra,Osmanabad,2012,Rabi,Maize,2300.0,1700.0
Maharashtra,Osmanabad,2012,Rabi,Wheat,24200.0,11300.0
Maharashtra,Osmanabad,2012,Kharif,Maize,700.0,600.0
Maharashtra,Osmanabad,2012,Whole year,Sugarcane,52200.0,2233500.0
Maharashtra,Osmanabad,2013,Kharif,Maize,21200.0,23000.0
Maharashtra,Osmanabad,2013,Kharif,Rice,13100.0,6400.0
Maharashtra,Osmanabad,2013,Kharif,Urad,38100.0,25200.0
Maharashtra,Osmanabad,2013,Rabi,Maize,2500.0,6600.0
Maharashtra,Osmanabad,2013,Rabi,Wheat,26700.0,41200.0
Maharashtra,Osmanabad,2013,Kharif,Maize,1300.0,1000.0
Maharashtra,Osmanabad,2013,Whole year,Sugarcane,68900.0,3175200.0
Maharashtra,Osmanabad,2014,Kharif,Maize,21200.0,8000.0
Maharashtra,Osmanabad,2014,Kharif,Rice,13100.0,2500.0
Maharashtra,Osmanabad,2014,Rabi,Maize,2700.0,1600.0
Maharashtra,Osmanabad,2014,Rabi,Wheat,24100.0,7100.0
Maharashtra,Osmanabad,2014,Kharif,Maize,1300.0,800.0
Maharashtra,Osmanabad,2014,Whole year,Sugarcane,39800.0,1592200.0
Maharashtra,Palghar,2014,Kharif,Rice,74800.0,188300.0
Maharashtra,Parbhani,2012,Kharif,Maize,1900.0,1800.0
Maharashtra,Parbhani,2012,Kharif,Rice,1400.0,100.0
Maharashtra,Parbhani,2012,Kharif,Urad,13000.0,6600.0
Maharashtra,Parbhani,2012,Rabi,Maize,400.0,200.0
Maharashtra,Parbhani,2012,Rabi,Wheat,13600.0,21400.0
Maharashtra,Parbhani,2012,Kharif,Maize,1800.0,1800.0
Maharashtra,Parbhani,2012,Whole year,Sugarcane,17000.0,1212400.0
Maharashtra,Parbhani,2013,Kharif,Maize,1900.0,2600.0
Maharashtra,Parbhani,2013,Kharif,Rice,700.0,300.0
Maharashtra,Parbhani,2013,Kharif,Urad,13100.0,5400.0
Maharashtra,Parbhani,2013,Rabi,Maize,200.0,500.0
Maharashtra,Parbhani,2013,Rabi,Wheat,20900.0,23300.0
Maharashtra,Parbhani,2013,Kharif,Maize,800.0,800.0
Maharashtra,Parbhani,2013,Whole year,Sugarcane,35900.0,2549700.0
Maharashtra,Parbhani,2014,Kharif,Maize,1500.0,600.0
Maharashtra,Parbhani,2014,Kharif,Rice,300.0,
Maharashtra,Parbhani,2014,Rabi,Wheat,22300.0,18800.0
Maharashtra,Parbhani,2014,Kharif,Maize,400.0,300.0
Maharashtra,Parbhani,2014,Whole year,Sugarcane,26600.0,1577200.0
Maharashtra,Pune,2012,Kharif,Maize,9500.0,23300.0
Maharashtra,Pune,2012,Kharif,Rice,77600.0,106200.0
Maharashtra,Pune,2012,Kharif,Urad,2400.0,1500.0
Maharashtra,Pune,2012,Rabi,Maize,15200.0,41900.0
Maharashtra,Pune,2012,Rabi,Wheat,53000.0,93800.0
Maharashtra,Pune,2012,Kharif,Maize,500.0,900.0
Maharashtra,Pune,2012,Whole year,Sugarcane,137700.0,13888400.0
Maharashtra,Pune,2013,Kharif,Maize,11800.0,33000.0
Maharashtra,Pune,2013,Kharif,Rice,82100.0,153200.0
